sentID.BTEC	splits_shared_task	dialect	raw	CODA
37	corpus-6-dev	BEI	أنا بعطيك رقم تلفونو و عنوانو.	انا باعطيك رقم تلفونه وعنوانه.
78	corpus-6-dev	BEI	فيك تغيرلي مقعدي؟	فيك تغير لي مقعدي؟
89	corpus-6-dev	BEI	إسمك مرة تاني؟	اسمك مرة ثاني؟
100	corpus-6-dev	BEI	في محل شامل قريب من هون؟	في محل شامل قريب من هون؟
134	corpus-6-dev	BEI	هالباص بيروح عأوتيل الشيراتون؟	هالباص بيروح عاوتيل الشيراتون؟
135	corpus-6-dev	BEI	لشو بيصير هيدا؟	لشو بيصير هيدا؟
136	corpus-6-dev	BEI	في شوية شوب. فيي إفتح الشباك؟	في شوية شوب. فيي افتح الشباك؟
139	corpus-6-dev	BEI	عينيي مدممين.	عينيي مدممين.
142	corpus-6-dev	BEI	ما فيي أضمن هيدا، بس رح نعمل جهدنا.	ما فيي اضمن هيدا، بس رح نعمل جهدنا.
156	corpus-6-dev	BEI	أمتين بيبلش ماتش الباسكيت؟	امتين بيبلش ماتش الباسكيت؟
207	corpus-6-dev	BEI	أي نوع من الحجر هيدا؟	اي نوع من الحجر هيدا؟
229	corpus-6-dev	BEI	عن اذنك، إستاذ. حابب زور بعض معالم المدينة ببوستن.	عن اذنك، استاذ. حابب زور بعض معالم المدينة ببوستن.
256	corpus-6-dev	BEI	أنا مهتم بشنطة الإيد الزرقة بالشباك.	انا مهتم بشنطة الايد الزرقة بالشباك.
299	corpus-6-dev	BEI	بدك تاخدو معك أو منبعتلك ياه؟	بدك تاخذه معك او منبعث لك اياه؟
329	corpus-6-dev	BEI	أمتين بيصير في طاولة متوفرة؟	امتين بيصير في طاولة متوفرة؟
454	corpus-6-dev	BEI	بدي مقعد حد الشباك، عمول معروف.	بدي مقعد حد الشباك، اعمول معروف.
480	corpus-6-dev	BEI	بدي أسجل هالشنطة.	بدي اسجل هالشنطة.
487	corpus-6-dev	BEI	صعبة ينقال الوداع.	صعبة ينقال الوداع.
541	corpus-6-dev	BEI	فيا تكون بالمكنة أ بتتغسل بالإيد بالبيت؟	فيها تكون بالمكنة او بتتغسل بالايد بالبيت؟
542	corpus-6-dev	BEI	بدي صندوق ماي ملونة، عمول معروف.	بدي صندوق ماي ملونة، اعمول معروف.
561	corpus-6-dev	BEI	بهالحالة، بنصح بهيدا.	بهالحالة، بانصح بهيدا.
610	corpus-6-dev	BEI	فيك تخلي غراضي الغالية؟	فيك تخلي اغراضي الغالية؟
691	corpus-6-dev	BEI	من النظر إلو، مبين إنك لقطت نوع من الإلتهاب.	من النظر اله، مبين انك لقطت نوع من الالتهاب.
698	corpus-6-dev	BEI	فيي أحصل على مقعدين بالطابق التاني لهالليلة؟	فيي احصل على مقعدين بالطابق الثاني لهالليلة؟
702	corpus-6-dev	BEI	أي ساعة مكتب البريد بيفتح؟	اي ساعة مكتب البريد بيفتح؟
752	corpus-6-dev	BEI	شكر ا. هيدا مفتاح أوضتك . العتال رح ياخدلك شنطاتك.	شكرا. هيدا مفتاح اوضتك. العتال رح ياخذ لك شنطاتك.
