sentID.BTEC	splits_shared_task	dialect	raw	CODA
37	corpus-6-dev	CAI	انا اديتك تليفونه و عنوانه.	انا اديتك تلفونه وعنوانه.
78	corpus-6-dev	CAI	ممكن لو سمحت تغير الكرسي بتاعي؟	ممكن لو سمحت تغير الكرسي بتاعي؟
89	corpus-6-dev	CAI	اسمك تاني لو سمحت؟	اسمك ثاني لو سمحت؟
100	corpus-6-dev	CAI	فيه هايبر ماركت قريب من هنا؟	فيه هايبر ماركت قريب من هنا؟
134	corpus-6-dev	CAI	الاتوبيس ده بيروح فندق شيراتون؟	الاتوبيس ده بيروح فندق شيراتون؟
135	corpus-6-dev	CAI	معناه ايه؟	معناه ايه؟
136	corpus-6-dev	CAI	الدنيا حر شويه. ممكن افتح الشباك؟	الدنيا حر شوية. ممكن افتح الشباك؟
139	corpus-6-dev	CAI	عينيا حمرا بلون الدم .	عينيي حمرا بلون الدم.
142	corpus-6-dev	CAI	ما اقدرش اضمن ده، بس حنحاول اد ما نقدر .	ما اقدرش اضمن ده، بس حنحاول قد ما نقدر.
156	corpus-6-dev	CAI	امتى يبتدي ماتش السله؟	امتى يبتدي ماتش السلة؟
207	corpus-6-dev	CAI	نوع الحجر ده ايه؟	نوع الحجر ده ايه؟
229	corpus-6-dev	CAI	اسمح لي، حضرتك . عايز اشوف بعض الاماكن السياحيه في بوسطن .	اسمح لي، حضرتك. عايز اشوف بعض الاماكن السياحية في بوسطن.
256	corpus-6-dev	CAI	انا مهتم بالشنطة الزرقا اللي عالشباك.	انا مهتم بالشنطة الزرقا اللي عالشباك.
299	corpus-6-dev	CAI	تحب تاخده معاك و لا احنا نبعتهولك؟	تحب تاخذه معاك ولا احنا نبعثه لك؟
329	corpus-6-dev	CAI	امتى حتفضى ترابيزة؟	امتى حتفضى تربيزة؟
454	corpus-6-dev	CAI	عايز كرسي جنب الشباك من فضلك .	عايز كرسي جنب الشباك من فضلك.
480	corpus-6-dev	CAI	عايز اسجل الشنطة ديه .	عايز اسجل الشنطة دية.
487	corpus-6-dev	CAI	الوداع صعب قوي .	الوداع صعب قوي.
541	corpus-6-dev	CAI	ممكن تتغسل بالمكنه ولا عاليد في البيت؟	ممكن تتغسل بالمكنة ولا عاليد في البيت؟
