sentID.BTEC	splits_shared_task	dialect	raw	CODA
37	corpus-6-dev	RAB	غادي نعطيك رقم التلفون و العنوان ديالو.	غادي نعطيك رقم التلفون والعنوان دياله.
78	corpus-6-dev	RAB	تقدر تبدل ليا البلاصة عفاك؟	تقدر تبدل لي البلاصة عافاك؟
89	corpus-6-dev	RAB	شنو سميتك مرة خرا؟	شنو سميتك مرة اخرى؟
100	corpus-6-dev	RAB	واش كاين شي متجر شامل قريب من هنا؟	واش كاين شي متجر شامل قريب من هنا؟
134	corpus-6-dev	RAB	واش هاد الطوبيس كايمشي لأوطيل الشيراطون؟	واش هاد الطوبيس كيمشي لاوطيل الشيراطون؟
135	corpus-6-dev	RAB	شنو كاي عني داكشي؟	شنو كاين عني داكشي؟
136	corpus-6-dev	RAB	كاين الصهد شوية. واش نقدر نحل الشرجم؟	كاين الصهد شوية. واش نقدر نحل الشرجم؟
139	corpus-6-dev	RAB	عيني حمرين بزاف.	عيني حمرين بزاف.
142	corpus-6-dev	RAB	منقدرش نضمن هادشي، ولكن غادي نديرو جهدنا.	ما نقدرش نضمن هاد الشي، ولكن غادي نديروا جهدنا.
156	corpus-6-dev	RAB	وقتاش الماتش ديال الباسكيط؟	وقتاش الماتش ديال الباسكط؟
207	corpus-6-dev	RAB	إينا نوع ديال الحجر هادا؟	اينا نوع ديال الحجر هادا؟
229	corpus-6-dev	RAB	سمح ليا، أ سيدي . بغيت ندير شي سياحة في بوسطن.	اسمح لي، اسيدي. بغيت ندير شي سياحة في بوسطن.
256	corpus-6-dev	RAB	انا مهتم بالصاك لي في الشرجم.	انا مهتم بالصاك اللي في الشرجم.
299	corpus-6-dev	RAB	واش غادي تديه معاك ولا نصيفطوه؟	واش غادي تديه معاك ولا نصيفطوه؟
329	corpus-6-dev	RAB	وقتاش غادي تخوا شي طابلا؟	وقتاش غادي تخوى شي طابلا؟
454	corpus-6-dev	RAB	بغيت بلاصة حدا الشرجم، عافاك.	بغيت بلاصة حدا الشرجم، عافاك.
480	corpus-6-dev	RAB	بغيت نقيد هاد الباليزا.	بغيت نقيد هاد الباليزة.
487	corpus-6-dev	RAB	بسلاما صعيبة باش تقال.	بالسلامة صعيبة باش تقال.
541	corpus-6-dev	RAB	واش تقدر تصبن بالماكينة ولا باليد فالدار؟	واش تقدر تصبن بالماكينة ولا باليد فالدار؟
542	corpus-6-dev	RAB	بغيت علبة ديال الوان الطيف، عافاك.	بغيت علبة ديال الوان الطيف، عافاك.
561	corpus-6-dev	RAB	فس هاديك الحالة، غادي نقتارح هادا.	في هاديك الحالة، غادي نقتارح هادا.
610	corpus-6-dev	RAB	تقدر تحافض على الحوايج الثمينة ديالي؟	تقدر تحافض على الحوايج الثمينة ديالي؟
691	corpus-6-dev	RAB	من الشوف ة ديالها، باين فيك هزيتي شي نوع ديال التعفن.	من الشوفة ديالها، باين فيك هزيتي شي نوع ديال التعفن.
698	corpus-6-dev	RAB	نقدر ناخد جوج بلايص في الطابق الثاني لهاد العشية؟	نقدر ناخذ جوج بلايص في الطابق الثاني لهاد العشية؟
702	corpus-6-dev	RAB	وقتاش كا تحل البوسط ة؟	وقتاش كتحل البوسطة؟
752	corpus-6-dev	RAB	شكرا. ها هو الساروت ديال بيتك. الحمال غادي يهز الباليزات ديالك.	شكرا. هاهو الساروت ديال بيتك. الحمال غادي يهز الباليزات ديالك.
755	corpus-6-dev	RAB	حتافظ بالباليزات ديالي، عافاك.	احتافظ بالباليزات ديالي، عافاك.
785	corpus-6-dev	RAB	ما كا نظنش بلي نقدر نعاونك بزاف.	ما كنظنش باللي نقدر نعاونك بزاف.
802	corpus-6-dev	RAB	واخا تقول ليه يحبس من التدخين، تماك؟	وخا تقول ليه يحبس من التدخين، ثماك؟
827	corpus-6-dev	RAB	كا نتمنا ندير شي عمل خيري.	كنتمنا ندير شي عمل خيري.
841	corpus-6-dev	RAB	بريت مزيان.	بريت مزيان.
910	corpus-6-dev	RAB	واخا تعطيني شويا ديال الما، عافاك. راني عطشان بزاف.	وخا تعطيني شوية ديال الما، عافاك. راني عطشان بزاف.
989	corpus-6-dev	RAB	بغيت جوج من المعجنات ديال موريسوبا.	بغيت جوج من المعجنات ديال موريسوبا.
996	corpus-6-dev	RAB	جرحت راسي بالزاج هنا.	جرحت راسي بالزاج هنا.
997	corpus-6-dev	RAB	كان خاصني نسول المدرب . و لكن واش تقدر تقول ليا إينا ماكينا مزيانا باش نتريني الظهر ديالي؟	كان خاصني نسول المدرب. ولكن واش تقدر تقول لي اينا ماكينا مزيانة باش نتريني الظهر ديالي؟
1008	corpus-6-dev	RAB	العامل ديال التلفون.	العامل ديال التلفون.
1011	corpus-6-dev	RAB	كا نضن بلي غلطنا في المحطة.	كنظن باللي غلطنا في المحطة.
1024	corpus-6-dev	RAB	واش عاقل على النمرة ديال السيارة؟	واش عاقل على النمرة ديال السيارة؟
1043	corpus-6-dev	RAB	بيرة، سطيك مع الفريت، أو صالاظ شيف.	بيرة، سطيك مع الفريت، او صالاظ شيف.
1107	corpus-6-dev	RAB	غادي نعيط عاوتاني.	غادي نعيط عاوثاني.
1147	corpus-6-dev	RAB	واش كاتعرف واش ضروري من الحجز فداك المطعم؟	واش كتعرف واش ضروري من الحجز فداك المطعم؟
1151	corpus-6-dev	RAB	واش كاين شي محل ديال الحلاقة في لوطيل؟	واش كاين شي محل ديال الحلاقة في الاوطيل؟
1157	corpus-6-dev	RAB	عندي شي حاجة نسولك عليها.	عندي شي حاجة نسولك عليها.
1161	corpus-6-dev	RAB	عافاك سخن الغرفة شوية.	عافاك سخن الغرفة شوية.
1173	corpus-6-dev	RAB	ما نقدرش نقول ليك.	ما نقدرش نقول ليك.
1176	corpus-6-dev	RAB	فين كاين البلاطو رقم خمسة؟	فين كاين البلاطو رقم خمسة؟
1202	corpus-6-dev	RAB	بغيت مرشد كا يتكلم اليابانية.	بغيت مرشد كيتكلم اليابانية.
1223	corpus-6-dev	RAB	واش ساليتي العشا ديالك؟	واش ساليتي العشا ديالك؟
1225	corpus-6-dev	RAB	الجودة ديال هادا أحسن.	الجودة ديال هادا احسن.
1230	corpus-6-dev	RAB	قمرت بجوج جنيه أسترليني.	قمرت بجوج جنيه أسترليني.
1231	corpus-6-dev	RAB	واش عندكم شي خرجة للجسر ديال كولدن بريدج؟	واش عندكم شي خرجة للجسر ديال غولدن بريدج؟
1277	corpus-6-dev	RAB	الرحلة رقم سبع ميا و تلاتة لطوكيو نهار الجمعة، اربعة سبتمبر.	الرحلة رقم سبعمية وثلاثة لطوكيو نهار الجمعة، اربعة سبتمبر.
1286	corpus-6-dev	RAB	كا نقلب على اللصاق.	كنقلب على اللصاق.
1297	corpus-6-dev	RAB	أو غدا؟	او غدا؟
1310	corpus-6-dev	RAB	في صحتك.	في صحتك.
1323	corpus-6-dev	RAB	واش عندكم بالنتاينز ديال عشر سنين؟	واش عندكم بالنتاينز ديال عشر سنين؟
1328	corpus-6-dev	RAB	راه نقدرو، ولكن سمح ليا ياخد شي شهورة.	راه نقدروا، ولكن اسمح لي ياخذ شي شهورة.
1339	corpus-6-dev	RAB	بغيت شي حاجة في الستيل المعاود ديال شانيل.	بغيت شي حاجة في الستيل المعاود ديال شانيل.
1345	corpus-6-dev	RAB	بغيت نتسجل في الرحلة ديال شلالات نياكارا.	بغيت نتسجل في الرحلة ديال شلالات نياغارا.
1358	corpus-6-dev	RAB	كا نظن آه.	كنظن آه.
1371	corpus-6-dev	RAB	أوه، لا. كايقول ليا شي حاجة. شنو خاصني ندير؟	اوه، لا. كيقول لي شي حاجة. شنو خاصني ندير؟
1417	corpus-6-dev	RAB	"إينا طوبيس كا يمشي ل ""كيلد هول""؟"	"اينا طوبيس كيمشي ل""كيلد هول""؟"
1423	corpus-6-dev	RAB	راه كاين فوق الرف التاني، في الصف الوصطاني.	راه كاين فوق الرف الثاني، في الصف الوصطاني.
1443	corpus-6-dev	RAB	واش خاصني نرجع دابا لليابان؟	واش خاصني نرجع دابا لليابان؟
1447	corpus-6-dev	RAB	كان بورطكلي ديال واحد القط معلق بواحد لاستيك هنايا.	كان بورطكلي ديال واحد القط معلق بواحد الاستيك هنايا.
1457	corpus-6-dev	RAB	تمنطاش دولار بالضبط.	ثمنتعش دولار بالضبط.
1475	corpus-6-dev	RAB	هاد الدار واعرة.	هاد الدار واعرة.
1497	corpus-6-dev	RAB	كوكا صغيرة، عافاك.	كوكا صغيرة، عافاك.
1504	corpus-6-dev	RAB	بشحال غادي يدير التأمين ديالو بتلت ميات دولار؟	بشحال غادي يدير التأمين دياله بثلاث ميات دولار؟
1538	corpus-6-dev	RAB	ممكن عافاك تقول ليا ديالاش هاد التكلفة؟	ممكن عافاك تقول لي ديال اش هاد التكلفة؟
1553	corpus-6-dev	RAB	إينا ماتش ملعوب فالتيران دابا؟	اينا ماتش ملعوب فالتيران دابا؟
1568	corpus-6-dev	RAB	مع السبعة ديال الصباح، التوقيت المحلي.	مع السبعة ديال الصباح، التوقيت المحلي.
1591	corpus-6-dev	RAB	العلبة فيها خمسة و ستين سنتمتر فالطول، تلاتين سنتمتر فالعرض، و تمنطاش سنتمتر فالارتفاع.	العلبة فيها خمسة وستين سنتيمتر فالطول، ثلاثين سنتيمتر فالعرض، وثمنتعش سنتيمتر فالارتفاع.
