sentID.BTEC	splits_shared_task	dialect	raw	CODA
37	corpus-6-dev	TUN	نعطيك نومرو التاليفون و الادريسة هاذوما.	نعطيك نومرو التالفون والادريسة هاذوما.
78	corpus-6-dev	TUN	ممكن تبدللي بقعتي؟	ممكن تبدل لي بقعتي؟
89	corpus-6-dev	TUN	تنجم تعاودلي اسمك؟	تنجم تعاود لي اسمك؟
100	corpus-6-dev	TUN	فما حانوت شامل قريب من هنا؟	فما حانوت شامل قريب من هنا؟
134	corpus-6-dev	TUN	الكار هاذي تمشي لوتيل الشيراتون؟	الكار هاذي تمشي لوتيل الشيراتون؟
135	corpus-6-dev	TUN	قداش يطلعو؟	قداش يطلعوا؟
136	corpus-6-dev	TUN	الدنية سخونة شوية. ميسالش نحل الشباك؟	الدنيا سخونة شوية. ميسالش نحل الشباك؟
139	corpus-6-dev	TUN	عينيا حمر.	عينيا حمر.
142	corpus-6-dev	TUN	ما انجمش نضمنلك، اما تو نعملو اللي انجمو.	ما ننجمش نضمن لك، اما تو نعملوا اللي ننجموا.
156	corpus-6-dev	TUN	وقتاش يبدا طرح الباسكات؟	وقتاش يبدا طرح الباسكات؟
207	corpus-6-dev	TUN	شنوة نوعها الحجرة هاذي؟	شنوا نوعها الحجرة هاذي؟
229	corpus-6-dev	TUN	سامحني، سيدي. نحب نحوس شوية في بوسطن.	سامحني، سيدي. نحب نحوس شوية في بوسطن.
256	corpus-6-dev	TUN	نحب نشوف الساك الازرق الي في الشباك.	نحب نشوف الساك الازرق اللي في الشباك.
299	corpus-6-dev	TUN	تهزو معاك ولا نبعثوهولك؟	تهزه معاك ولا نبعثوه لك؟
329	corpus-6-dev	TUN	وقتاش تفرغ طاولة؟	وقتاش تفرغ طاولة؟
454	corpus-6-dev	TUN	نحب بقعة بجنب الشباك، عيشك.	نحب بقعة بجنب الشباك، يعيشك.
480	corpus-6-dev	TUN	نحب نوصق الفاليجة هاذي.	نحب نوصق الفاليجة هاذي.
487	corpus-6-dev	TUN	الوداع صعيب.	الوداع صعيب.
541	corpus-6-dev	TUN	انجم نغسلو في الدار باليد ولا بالماكينة؟	ننجم نغسله في الدار باليد ولا بالماكينة؟
542	corpus-6-dev	TUN	نحب حكة اقواش، يعيشك.	نحب حقة قواش، يعيشك.
561	corpus-6-dev	TUN	في الحالة هاذي، ننصحك بهذا.	في الحالة هاذي، ننصحك بهذا.
610	corpus-6-dev	TUN	تنجم تخلي عندك حاجاتي الثمينة؟	تنجم تخلي عندك حاجاتي الثمينة؟
691	corpus-6-dev	TUN	حسب ما نشوف، ضاهر فيك عندك التهاب.	حسب ما نشوف، ضاهر فيك عندك التهاب.
698	corpus-6-dev	TUN	نحب زوز كراسي في الطاق الثاني لسهرية اليوم؟	نحب زوز كراسي في الطاق الثاني لسهرية اليوم؟
702	corpus-6-dev	TUN	وقتاش يحل البيرو هذا؟	وقتاش يحل البيرو هذا؟
752	corpus-6-dev	TUN	يعطيك الصحة. هذا مفتاح بيتك. الحمال تو يطلعلك باقاجك.	يعطيك الصحة. هذا مفتاح بيتك. الحمال تو يطلع لك باغاجك.
755	corpus-6-dev	TUN	خلي باقاجي عندك، يعيشك.	خلي باقاجي عندك، يعيشك.
785	corpus-6-dev	TUN	ما ضاهرلي كان انجم نعاونك.	ما ضاهر لي كان ننجم نعاونك.
802	corpus-6-dev	TUN	ميسالش تطلب منو ينحي الدخان، غادي؟	ميسالش تطلب منه ينحي الدخان، غادي؟
827	corpus-6-dev	TUN	نحب نعمل شوية اعمال خيرية.	نحب نعمل شوية اعمال خيرية.
841	corpus-6-dev	TUN	بريت بالقدا.	بريت بالقدا.
910	corpus-6-dev	TUN	تعطيني شوية ماء، عيشك؟ عطشان برشة.	تعطيني شوية ماء، يعيشك؟ عطشان برشا.
989	corpus-6-dev	TUN	نحب زوز صحاف من رشتة الموريسوبا.	نحب زوز صحاف من رشتة الموريسوبا.
996	corpus-6-dev	TUN	جرحت روحي بالقزاز هوني.	جرحت روحي بالقزاز هوني.
997	corpus-6-dev	TUN	حقني سالت المدرب، اما تنجمش تقلي اناهية الماكينة الباهية لضهري؟	حقني سالت المدرب، اما تنجمش تقول لي اناهي الماكينة الباهية لظهري؟
1008	corpus-6-dev	TUN	مشغل المكالمات.	مشغل المكالمات.
1011	corpus-6-dev	TUN	ضاهرلي ميش هاذي محطتنا.	ضاهر لي مش هاذي محطتنا.
1024	corpus-6-dev	TUN	تتفكر نومرو الكرهبة؟	تتفكر نومرو الكرهبة؟
1043	corpus-6-dev	TUN	كعبة بيرا، ستاك و فريت، و الصلاطة الخاصة متاع الشاف.	كعبة بيرة، ستاك وفريت، والصلاطة الخاصة متاع الشاف.
1107	corpus-6-dev	TUN	تو نعاود نطلب.	تو نعاود نطلب.
1147	corpus-6-dev	TUN	تعرفش المطعم هذاكا بالحجز ولا لا؟	تعرفش المطعم هاذاكا بالحجز ولا لا؟
1151	corpus-6-dev	TUN	فما حجام في الوتيل؟	فما حجام في الوتيل؟
1157	corpus-6-dev	TUN	عندي ليك طلب.	عندي ليك طلب.
1161	corpus-6-dev	TUN	دفيلي البيت شوية، عيشك.	دفي لي البيت شوية، يعيشك.
1173	corpus-6-dev	TUN	ما انجمش نقلك.	ما ننجمش نقول لك.
1176	corpus-6-dev	TUN	ويني الرصيف نومرو خمسة؟	وينو الرصيف نومرو خمسة؟
1202	corpus-6-dev	TUN	نحب دليل سياحي يحكي ياباني.	نحب دليل سياحي يحكي ياباني.
1223	corpus-6-dev	TUN	كملت تعشيت؟	كملت تعشيت؟
1225	corpus-6-dev	TUN	هذا احسن من ناحية الجودة.	هذا احسن من ناحية الجودة.
1230	corpus-6-dev	TUN	نتخاطر معاك على زوز جنيهات.	نتخاطر معاك على زوز جنيهات.
1231	corpus-6-dev	TUN	عندكم زيارة فيها قنطرة القولدن قايت؟	عندكم زيارة فيها قنطرة الغولدن غيت؟
1277	corpus-6-dev	TUN	رحلة نومرو سبعة ميا و تلاثة لطوكيو نهار اربعة سبتمبر، نهار الجمعة.	رحلة نومرو سبعمية وثلاثة لطوكيو نهار اربعة سبتمبر، نهار الجمعة.
1286	corpus-6-dev	TUN	نلوج في لصق.	نلوج في لصق.
1297	corpus-6-dev	TUN	و غدوة؟	وغدوة؟
1310	corpus-6-dev	TUN	في صحتك.	في صحتك.
1323	corpus-6-dev	TUN	عندكم بالانتين عمرو عشرة سنين؟	عندكم بالانتين عمره عشرة سنين؟
1328	corpus-6-dev	TUN	ممكن ننجمو، اما الحكاية تاخذ اشهرة.	ممكن ننجمو، اما الحكاية تاخذ اشهرة.
1339	corpus-6-dev	TUN	نحب حاجة مقلدة على الشانال.	نحب حاجة مقلدة على الشانال.
1345	corpus-6-dev	TUN	نحب نقيد في رحلة شلالات نياقارا.	نحب نقيد في رحلة شلالات نياغارا.
1358	corpus-6-dev	TUN	ضاهرلي اي.	ضاهر لي اي.
1371	corpus-6-dev	TUN	اه لا. قاعد يقلي في حاجة. زعمة شنوة نعمل؟	آه لا. قاعد يقول لي في حاجة. زعمة شنوا نعمل؟
1417	corpus-6-dev	TUN	اناهيا الكاز الي تمشي لقيلد هول؟	اناهيا الكار اللي تمشي لقيلد هول؟
1423	corpus-6-dev	TUN	موجود في الدرجة الثانية في الصفة الوسطانية.	موجود في الدرجة الثانية في الصفة الوسطانية.
1443	corpus-6-dev	TUN	يلزمني نرجع لليابان توا توا؟	يلزمني نرجع لليابان توا توا؟
1447	corpus-6-dev	TUN	كان فما شك مفاتح قطوس مربوط بشريط هوني.	كان فما شك مفاتح قطوس مربوط بشريط هوني.
1457	corpus-6-dev	TUN	ثمنطاشن دولار بالضبط.	ثمنتعشن دولار بالضبط.
1475	corpus-6-dev	TUN	هاذي دار طيارة.	هاذي دار طيارة.
