sentID.BTEC	splits_shared_task	dialect	raw	CODA
37	corpus-6-dev	CAI	انا اديتك تليفونه و عنوانه.	انا اديتك تلفونه وعنوانه.
78	corpus-6-dev	CAI	ممكن لو سمحت تغير الكرسي بتاعي؟	ممكن لو سمحت تغير الكرسي بتاعي؟
89	corpus-6-dev	CAI	اسمك تاني لو سمحت؟	اسمك ثاني لو سمحت؟
100	corpus-6-dev	CAI	فيه هايبر ماركت قريب من هنا؟	فيه هايبر ماركت قريب من هنا؟
134	corpus-6-dev	CAI	الاتوبيس ده بيروح فندق شيراتون؟	الاتوبيس ده بيروح فندق شيراتون؟
135	corpus-6-dev	CAI	معناه ايه؟	معناه ايه؟
136	corpus-6-dev	CAI	الدنيا حر شويه. ممكن افتح الشباك؟	الدنيا حر شوية. ممكن افتح الشباك؟
139	corpus-6-dev	CAI	عينيا حمرا بلون الدم .	عينيي حمرا بلون الدم.
142	corpus-6-dev	CAI	ما اقدرش اضمن ده، بس حنحاول اد ما نقدر .	ما اقدرش اضمن ده، بس حنحاول قد ما نقدر.
156	corpus-6-dev	CAI	امتى يبتدي ماتش السله؟	امتى يبتدي ماتش السلة؟
207	corpus-6-dev	CAI	نوع الحجر ده ايه؟	نوع الحجر ده ايه؟
229	corpus-6-dev	CAI	اسمح لي، حضرتك . عايز اشوف بعض الاماكن السياحيه في بوسطن .	اسمح لي، حضرتك. عايز اشوف بعض الاماكن السياحية في بوسطن.
256	corpus-6-dev	CAI	انا مهتم بالشنطة الزرقا اللي عالشباك.	انا مهتم بالشنطة الزرقا اللي عالشباك.
299	corpus-6-dev	CAI	تحب تاخده معاك و لا احنا نبعتهولك؟	تحب تاخذه معاك ولا احنا نبعثه لك؟
329	corpus-6-dev	CAI	امتى حتفضى ترابيزة؟	امتى حتفضى تربيزة؟
454	corpus-6-dev	CAI	عايز كرسي جنب الشباك من فضلك .	عايز كرسي جنب الشباك من فضلك.
480	corpus-6-dev	CAI	عايز اسجل الشنطة ديه .	عايز اسجل الشنطة دية.
487	corpus-6-dev	CAI	الوداع صعب قوي .	الوداع صعب قوي.
541	corpus-6-dev	CAI	ممكن تتغسل بالمكنه ولا عاليد في البيت؟	ممكن تتغسل بالمكنة ولا عاليد في البيت؟
542	corpus-6-dev	CAI	محتاج علبة الوان ميه، من فضلك.	محتاج علبة الوان مية، من فضلك.
561	corpus-6-dev	CAI	في الحالة ديه، انا بأنصح بده .	في الحالة دية، انا بانصح بده.
610	corpus-6-dev	CAI	ممكن تحافظ على حاجتي القيمة، من فضلك؟	ممكن تحافظ على حاجتي القيمة، من فضلك؟
691	corpus-6-dev	CAI	ببصه عليك، باين عليك لقطت نوع من العدوى .	ببصة عليك، باين عليك لقطت نوع من العدوى.
698	corpus-6-dev	CAI	ممكن اخد كرسيين دور تاني علوي علشان حفلة الليله؟	ممكن آخذ كرسيين دور ثاني علوي علشان حفلة الليلة؟
702	corpus-6-dev	CAI	امتى بيفتح مكتب البريد؟	امتى بيفتح مكتب البريد؟
752	corpus-6-dev	CAI	اشكرك . ادي مفتاحك . الحمال حياخد شنطك .	اشكرك. ادي مفتاحك. الحمال حياخذ شنطك.
755	corpus-6-dev	CAI	سيب شنطي، من فضلك .	سيب شنطي، من فضلك.
785	corpus-6-dev	CAI	مش متأكد اني حأقدر أديلك مساعده كويسة .	مش متأكد اني حاقدر ادي لك مساعدة كويسة.
802	corpus-6-dev	CAI	ممكن تطلب منه يبطل تدخين، الموجود هناك؟	ممكن تطلب منه يبطل تدخين، الموجود هناك؟
827	corpus-6-dev	CAI	عاوز اشارك في عمل خير .	عاوز اشارك في عمل خير.
841	corpus-6-dev	CAI	صحتي رجعتلي خالص .	صحتي رجعت لي خالص.
910	corpus-6-dev	CAI	ممكن تديني شويه ميه، من فضلك؟ انا عطشان جدا .	ممكن تديني شوية مية، من فضلك؟ انا عطشان جدا.
989	corpus-6-dev	CAI	حاخد وجبتين من المكرونه الشعرية موري سوبا .	حاخد وجبتين من المكرونة الشعرية موري سوبا.
996	corpus-6-dev	CAI	عورت نفسي بقزاز هنا .	عورت نفسي بقزاز هنا.
997	corpus-6-dev	CAI	مفروض اسال المدرب، بس ممكن تقولي اى اله كويسه لتمرين ضهري؟	مفروض اسأل المدرب، بس ممكن تقول لي اي آله كويسة لتمرين ضهري؟
1008	corpus-6-dev	CAI	مشغل المكالمات.	مشغل المكالمات.
1011	corpus-6-dev	CAI	متهيألي احنا في المحطة الغلط .	متهيأ لي احنا في المحطة الغلط.
1024	corpus-6-dev	CAI	فاكر رقم العربية؟	فاكر رقم العربية؟
1043	corpus-6-dev	CAI	بيرة، ستيك مع بطاطس، و سلطة الشيف المخصوصة .	بيرة، ستيك مع بطاطس، وسلطة الشيف المخصوصة.
1107	corpus-6-dev	CAI	حأتصل تاني .	حاتصل ثاني.
1147	corpus-6-dev	CAI	عندك فكرة المطعم ده محتاج حجز مسبق؟	عندك فكرة المطعم ده محتاج حجز مسبق؟
1151	corpus-6-dev	CAI	فيه صالون حلاقة في الفندق؟	فيه صالون حلاقة في الفندق؟
1157	corpus-6-dev	CAI	عندي سؤال ليك .	عندي سؤال ليك.
1161	corpus-6-dev	CAI	لو سمحت دفي الاوضه شويه .	لو سمحت دفي الاوضة شوية.
1173	corpus-6-dev	CAI	مش قادر أقولك .	مش قادر اقول لك.
1176	corpus-6-dev	CAI	فين رصيف خمسة؟	فين رصيف خمسة؟
1202	corpus-6-dev	CAI	عايز دليل بيتكلم ياباني .	عايز دليل بيتكلم ياباني.
1223	corpus-6-dev	CAI	خلصت عشاك؟	خلصت عشاك؟
1225	corpus-6-dev	CAI	جوده ده أحسن .	جودة ده احسن.
1230	corpus-6-dev	CAI	بأراهن بأتين جنية .	باراهن باثنين جنيه.
1231	corpus-6-dev	CAI	عندكم رحله فيها زيارة لكوبري الجولدن جيت؟	عندكم رحلة فيها زيارة لكوبري الجولدن جيت؟
1277	corpus-6-dev	CAI	ديه رحلة طوكية سبعميه و تلاته اربعة سبتمبر، الجمعة .	دية رحلة طوكية سبعمية وثلاثة اربعة سبتمبر، الجمعة.
1286	corpus-6-dev	CAI	بأدور على معجون .	بادور على معجون.
1297	corpus-6-dev	CAI	بكره كويس؟	بكرة كويس؟
1310	corpus-6-dev	CAI	في صحتك .	في صحتك.
1323	corpus-6-dev	CAI	عندك ويسكي بالانتين معتق عشر سنين؟	عندك ويسكي بالانتين معتق عشر سنين؟
1328	corpus-6-dev	CAI	ممكن نقدر، للأسف الموضوع ده حياخد كذا شهر .	ممكن نقدر، للاسف الموضوع ده حياخذ كذا شهر.
1339	corpus-6-dev	CAI	عايز حاجة من ستيايلات شانيل .	عايز حاجة من ستيايلات شانيل.
1345	corpus-6-dev	CAI	عايز أحجز لرحلة شلالات نياجرا .	عايز احجز لرحلة شلالات نياجرا.
1358	corpus-6-dev	CAI	اظن كده .	اظن كده.
1371	corpus-6-dev	CAI	ااه لأ . هو بيقولي حاجة . مفروض أعمل ايه؟	آه لأ. هو بيقول لي حاجة. مفروض اعمل ايه؟
1417	corpus-6-dev	CAI	اى اتوبيس بيروح جولد هال؟	اي اتوبيس بيروح جلد هول؟
1423	corpus-6-dev	CAI	في الرف التاني في الصف الوسطاني .	في الرف الثاني في الصف الوسطاني.
1443	corpus-6-dev	CAI	لازم ارجع اليابان علطول؟	لازم ارجع اليابان على طول؟
