sentID.BTEC	splits_shared_task	dialect	raw	CODA
37	corpus-6-dev	DOH	عطيتك رقم تلفونه وعنوانه.	عطيتك رقم تلفونه وعنوانه.
78	corpus-6-dev	DOH	ممكن تغير كرسيي؟	ممكن تغير كرسيي؟
89	corpus-6-dev	DOH	شسمك مرة ثانية؟	شسمك مرة ثانية؟
100	corpus-6-dev	DOH	في مركز تجاري قريب من هني؟	فيه مركز تجاري قريب من هني؟
134	corpus-6-dev	DOH	يروح هالباص لفندق الشيراتون؟	يروح هالباص لفندق الشيراتون؟
135	corpus-6-dev	DOH	كم يصير؟	كم يصير؟
136	corpus-6-dev	DOH	شوي حر. عادي ابطل الدريشة؟	شوي حر. عادي ابطل الدريشة؟
139	corpus-6-dev	DOH	عيوني حمر.	عيوني حمر.
142	corpus-6-dev	DOH	ماقدر اضمن لك، بس بنحاول.	ما اقدر اضمن لك، بس بنحاول.
156	corpus-6-dev	DOH	متى تبتدي مباراة كرة السلة؟	متى تبتدي مباراة كرة السلة؟
207	corpus-6-dev	DOH	شنو نوع هالحجر؟	شنو نوع هالحجر؟
229	corpus-6-dev	DOH	لو سمحت، اخوي. ابغي اتسيح في بوسطن.	لو سمحت، اخوي. ابغي اتسيح في بوسطن.
256	corpus-6-dev	DOH	عجبتني الشنطة الزرقه المعروضة في الواجهة.	عجبتني الشنطة الزرقة المعروضة في الواجهة.
299	corpus-6-dev	DOH	بتاخذه معاك او تبينا نطرشه؟	بتاخذه معاك او تبينا نطرشه؟
329	corpus-6-dev	DOH	متى بتفضا لنا طاولة؟	متى بتفضى لنا طاولة؟
454	corpus-6-dev	DOH	بغيت كرسي يم الدريشة.	بغيت كرسي يم الدريشة.
480	corpus-6-dev	DOH	بغيت اسجل هالشنطة.	بغيت اسجل هالشنطة.
487	corpus-6-dev	DOH	الفراق صعب.	الفراق صعب.
541	corpus-6-dev	DOH	عادي ينغسل بالغسالة أو باليد في البيت؟	عادي ينغسل بالغسالة او باليد في البيت؟
542	corpus-6-dev	DOH	بغيت ألوان مائية لو سمحت.	بغيت الوان مائية لو سمحت.
561	corpus-6-dev	DOH	في هالحالة، اقترح عليك هذي.	في هالحالة، اقترح عليك هاذي.
610	corpus-6-dev	DOH	ممكن تحفظ اشيائي الغالية، لو سمحت؟	ممكن تحفظ اشيائي الغالية، لو سمحت؟
691	corpus-6-dev	DOH	من شكله، جنه صابتك عدوى.	من شكله، كنه صابتك عدوى.
698	corpus-6-dev	DOH	اقدر احصل كرسيين في الطابق الثاني حق الليلة؟	اقدر احصل كرسيين في الطابق الثاني حق الليلة؟
702	corpus-6-dev	DOH	الساعة كم يفتح مكتب البريد؟	الساعة كم يفتح مكتب البريد؟
752	corpus-6-dev	DOH	شكرا. تفضل مفتاح غرفتك. حامل الشنط بيشيل شناطك.	شكرا. تفضل مفتاح غرفتك. حامل الشنط بيشيل شناطك.
755	corpus-6-dev	DOH	خل شناطي معاك لو سمحت.	خل شناطي معاك لو سمحت.
785	corpus-6-dev	DOH	ماظن اقدر اساعدك.	ما اظن اقدر اساعدك.
802	corpus-6-dev	DOH	ممكن تقول له يوقف تدخين، هناك؟	ممكن تقول له يوقف تدخين، هناك؟
827	corpus-6-dev	DOH	ابغي اسوي اعمال خيرية.	ابغي اسوي اعمال خيرية.
841	corpus-6-dev	DOH	رجعت لي العافية.	رجعت لي العافية.
910	corpus-6-dev	DOH	ممكن تعطيني ماي؟ عطشان واجد.	ممكن تعطيني ماي؟ عطشان واجد.
989	corpus-6-dev	DOH	بغيت اثنين موريسوبا نودلز.	بغيت اثنين موريسوبا نودلز.
996	corpus-6-dev	DOH	شقيت روحي هني بالزجاج.	شقيت روحي هني بالزجاج.
997	corpus-6-dev	DOH	كان لازم اسأل المدرب، بس تقدر تخبرني اي مكينة زينة حق امرن ظهري؟	كان لازم اسأل المدرب، بس تقدر تخبرني اي مكينة زينة حق امرن ظهري؟
1008	corpus-6-dev	DOH	عامل مكالمات.	عامل مكالمات.
1011	corpus-6-dev	DOH	اظن ان احنا في المحطة الغلط.	اظن ان احنا في المحطة الغلط.
1024	corpus-6-dev	DOH	تتذكر نمرة السيارة؟	تتذكر نمرة السيارة؟
1043	corpus-6-dev	DOH	بير، ستيك مع بطاطس، وسلطة الشيف الخاصة.	بير، ستيك مع بطاطس، وسلطة الشيف الخاصة.
1107	corpus-6-dev	DOH	بتصل مرة ثانية.	باتصل مرة ثانية.
1147	corpus-6-dev	DOH	تعرف اذا ذاك المطعم يحتاج حجز؟	تعرف اذا ذاك المطعم يحتاج حجز؟
1151	corpus-6-dev	DOH	في حلاق في الفندق؟	فيه حلاق في الفندق؟
1157	corpus-6-dev	DOH	في شي بطلبه منك.	فيه شي باطلبه منك.
1161	corpus-6-dev	DOH	ممكن تخلي الغرفة ادفى شوي.	ممكن تخلي الغرفة ادفى شوي.
1173	corpus-6-dev	DOH	ماقدر اقول لك.	ما اقدر اقول لك.
1176	corpus-6-dev	DOH	وين الرصيف رقم خمسة؟	وين الرصيف رقم خمسة؟
1202	corpus-6-dev	DOH	بغيت مرشد يتكلم ياباني.	بغيت مرشد يتكلم ياباني.
1223	corpus-6-dev	DOH	خلصت عشاك؟	خلصت عشاك؟
1225	corpus-6-dev	DOH	نوعية هذي احسن.	نوعية هاذي احسن.
1230	corpus-6-dev	DOH	اراهن ببجنيهين.	اراهن بجنيهين.
1231	corpus-6-dev	DOH	عندكم جولة فيها زيارة لجسر البوابة الذهبية؟	عندكم جولة فيها زيارة لجسر البوابة الذهبية؟
1277	corpus-6-dev	DOH	رحلة رقم سبعمية وثلاثة لطوكيو بتاريخ اربعة سبتمبر، يوم الجمعة.	رحلة رقم سبعمية وثلاثة لطوكيو بتاريخ اربعة سبتمبر، يوم الجمعة.
1286	corpus-6-dev	DOH	ادور معجون.	ادور معجون.
1297	corpus-6-dev	DOH	بكرة شلون؟	بكرة شلون؟
1310	corpus-6-dev	DOH	بصحتك.	بصحتك.
1323	corpus-6-dev	DOH	عندكم بالاتين عشر سنوات؟	عندكم بالانتين عشر سنوات؟
1328	corpus-6-dev	DOH	يمكن نقدر، مسامحة بس بياخذ كم شهر.	يمكن نقدر، مسامحة بس بياخذ كم شهر.
1339	corpus-6-dev	DOH	بغيت شي بستايل شانيل المتكرر.	بغيت شي بستايل شانيل المتكرر.
1345	corpus-6-dev	DOH	بغيت اسجل في جولة شلالات نياغارا.	بغيت اسجل في جولة شلالات نياغرا.
1358	corpus-6-dev	DOH	اظن.	اظن.
1371	corpus-6-dev	DOH	اوه لا. هو قاعد يكلمني. شاسوي؟	اوه لا. هو قاعد يكلمني. شاسوي؟
1417	corpus-6-dev	DOH	اي باص يروح قيلد هول؟	اي باص يروح غيلد هول؟
1423	corpus-6-dev	DOH	في ثاني رف في الصفة الوسطية.	في ثاني رف في الصفة الوسطية.
1443	corpus-6-dev	DOH	لازم ارجع اليابان الحين؟	لازم ارجع اليابان الحين؟
1447	corpus-6-dev	DOH	كان في حمالة مفاتيح على قطو ملصوقة بشريطة هني.	كان فيه حمالة مفاتيح على قطو ملصوقة بشريطة هني.
1457	corpus-6-dev	DOH	ثمانطعش دولار بالضبط.	ثمانتعش دولار بالضبط.
1475	corpus-6-dev	DOH	حلو هالبيت.	حلو هالبيت.
1497	corpus-6-dev	DOH	كولا صغيرة، لو سمحت.	كولا صغيرة، لو سمحت.
1504	corpus-6-dev	DOH	كم يكلف تأمينه على ثلاثمية دولار؟	كم يكلف تأمينه على ثلاثمية دولار؟
1538	corpus-6-dev	DOH	ممكن تخبرني هالمبلغ حق شنو؟	ممكن تخبرني هالمبلغ حق شنو؟
1553	corpus-6-dev	DOH	شنو اللعبة الحالية في الاستاد؟	شنو اللعبة الحالية في الاستاد؟
1568	corpus-6-dev	DOH	الساعة سبع الصبح، بالتوقيت المحلي.	الساعة سبع الصبح، بالتوقيت المحلي.
1591	corpus-6-dev	DOH	طول الصندوق خمسة وستين سنتي، وعرضه ثلاثين، وارتفاعه ثمانطعش.	طول الصندوق خمسة وستين سنتي، وعرضه ثلاثين، وارتفاعه ثمانتعش.
1597	corpus-6-dev	DOH	الساعة عشر. هذي مفتاح غرفتك. غرفتك خمسة آلاف واربعمية وثلاثة وثلاثين. حمال الشنط بيجيب لك شناطك فوق.	الساعة عشر. هاذي مفتاح غرفتك. غرفتك خمسة آلاف واربعمية وثلاثة وثلاثين. حمال الشنط بيجيب لك شناطك فوق.
1602	corpus-6-dev	DOH	يصير تقص قذلتي نص انج فوق حواجبي؟	يصير تقص قذلتي نص انج فوق حواجبي؟
1611	corpus-6-dev	DOH	لف يسار مع الليت.	لف يسار مع الليت.
1626	corpus-6-dev	DOH	لو سمحت افصخ ثيابك والبس هذي الروب.	لو سمحت افصخ ثيابك والبس هاذي الروب.
1643	corpus-6-dev	DOH	عندك تيب؟	عندك تيب؟
1652	corpus-6-dev	DOH	وين اقرب محل جواتي؟	وين اقرب محل جواتي؟
1656	corpus-6-dev	DOH	عندك ذوق في الفن.	عندك ذوق في الفن.
1697	corpus-6-dev	DOH	تاخذ اي ادوية ثانية؟	تاخذ اي ادوية ثانية؟
1708	corpus-6-dev	DOH	العفو. بغيت كرسي يم الممر.	العفو. بغيت كرسي يم الممر.
1710	corpus-6-dev	DOH	عندك شنطة تمشي وياه؟	عندك شنطة تمشي وياه؟
1721	corpus-6-dev	DOH	واجد ضيق هني.	واجد ضيق هني.
1723	corpus-6-dev	DOH	الو، هذي غرفة الف وميتين واربعة وثلاثين. اسمي اودا. بغيت احد يتصل فيني يقعدني باجر الساعة ست الصبح، لو سمحت.	الو، هاذي غرفة الف وميتين واربعة وثلاثين. اسمي اودا. بغيت احد يتصل فيني يقعدني باجر الساعة ست الصبح، لو سمحت.
1740	corpus-6-dev	DOH	انت عضو في نادينا المنتشر اجر-سيارة؟	انت عضو في نادينا المنتشر اجر-سيارة؟
1814	corpus-6-dev	DOH	مو قادر استوعب اللي تقوله.	مو قادر استوعب اللي تقوله.
1844	corpus-6-dev	DOH	عندك صداع؟	عندك صداع؟
1850	corpus-6-dev	DOH	ممكن تمر تاخذني من اقرب محطة؟	ممكن تمر تاخذني من اقرب محطة؟
1851	corpus-6-dev	DOH	اي، عندي.	اي، عندي.
