sentID.BTEC	splits_shared_task	dialect	raw	CODA
37	corpus-6-dev	RAB	غادي نعطيك رقم التلفون و العنوان ديالو.	غادي نعطيك رقم التلفون والعنوان دياله.
78	corpus-6-dev	RAB	تقدر تبدل ليا البلاصة عفاك؟	تقدر تبدل لي البلاصة عافاك؟
89	corpus-6-dev	RAB	شنو سميتك مرة خرا؟	شنو سميتك مرة اخرى؟
100	corpus-6-dev	RAB	واش كاين شي متجر شامل قريب من هنا؟	واش كاين شي متجر شامل قريب من هنا؟
134	corpus-6-dev	RAB	واش هاد الطوبيس كايمشي لأوطيل الشيراطون؟	واش هاد الطوبيس كيمشي لاوطيل الشيراطون؟
135	corpus-6-dev	RAB	شنو كاي عني داكشي؟	شنو كاين عني داكشي؟
136	corpus-6-dev	RAB	كاين الصهد شوية. واش نقدر نحل الشرجم؟	كاين الصهد شوية. واش نقدر نحل الشرجم؟
139	corpus-6-dev	RAB	عيني حمرين بزاف.	عيني حمرين بزاف.
142	corpus-6-dev	RAB	منقدرش نضمن هادشي، ولكن غادي نديرو جهدنا.	ما نقدرش نضمن هاد الشي، ولكن غادي نديروا جهدنا.
156	corpus-6-dev	RAB	وقتاش الماتش ديال الباسكيط؟	وقتاش الماتش ديال الباسكط؟
207	corpus-6-dev	RAB	إينا نوع ديال الحجر هادا؟	اينا نوع ديال الحجر هادا؟
229	corpus-6-dev	RAB	سمح ليا، أ سيدي . بغيت ندير شي سياحة في بوسطن.	اسمح لي، اسيدي. بغيت ندير شي سياحة في بوسطن.
256	corpus-6-dev	RAB	انا مهتم بالصاك لي في الشرجم.	انا مهتم بالصاك اللي في الشرجم.
299	corpus-6-dev	RAB	واش غادي تديه معاك ولا نصيفطوه؟	واش غادي تديه معاك ولا نصيفطوه؟
329	corpus-6-dev	RAB	وقتاش غادي تخوا شي طابلا؟	وقتاش غادي تخوى شي طابلا؟
454	corpus-6-dev	RAB	بغيت بلاصة حدا الشرجم، عافاك.	بغيت بلاصة حدا الشرجم، عافاك.
480	corpus-6-dev	RAB	بغيت نقيد هاد الباليزا.	بغيت نقيد هاد الباليزة.
487	corpus-6-dev	RAB	بسلاما صعيبة باش تقال.	بالسلامة صعيبة باش تقال.
541	corpus-6-dev	RAB	واش تقدر تصبن بالماكينة ولا باليد فالدار؟	واش تقدر تصبن بالماكينة ولا باليد فالدار؟
542	corpus-6-dev	RAB	بغيت علبة ديال الوان الطيف، عافاك.	بغيت علبة ديال الوان الطيف، عافاك.
561	corpus-6-dev	RAB	فس هاديك الحالة، غادي نقتارح هادا.	في هاديك الحالة، غادي نقتارح هادا.
610	corpus-6-dev	RAB	تقدر تحافض على الحوايج الثمينة ديالي؟	تقدر تحافض على الحوايج الثمينة ديالي؟
